차량명,연식,주행거리,가격
현대 쏘나타 뉴 라이즈 2.0 스마트 스페셜,19년 2월식,"55,551km","1,550만원"
쉐보레(GM대우) 임팔라 2.5 프리미어,18년 5월식,"87,560km","1,010만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
기아 K5 3세대 가솔린 2.0 프레스티지,21년 4월식,"74,492km","1,890만원"
현대 팰리세이드 디젤 2.2 2WD 캘리그래피 (7인승),20년 6월식(21년형),"60,543km","3,180만원"
기아 셀토스 가솔린 터보 1.6 2WD 노블레스,20년 4월식,"94,147km","1,800만원"
BMW X3 (G01) xDrive 20i M 스포츠,21년 5월식,"55,192km","4,290만원"
KG모빌리티(쌍용) 더 뉴 토레스 가솔린 터보 1.5 밴 4WD TV7,24년 7월식(25년형),"21,377km","2,500만원"
기아 모닝 어반 가솔린 1.0 프레스티지,21년 4월식,"30,043km","1,090만원"
현대 더 뉴 그랜저 가솔린 3.3 프리미엄,22년 3월식,"79,012km","2,190만원"
기아 더 뉴 레이 프레스티지,22년 5월식,"26,414km","1,310만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 2WD,22년 3월식,"85,245km","3,850만원"
현대 더 뉴 아반떼 N 가솔린 터보 2.0,26년 4월식,"1,210km","3,050만원"
제네시스 GV80 가솔린 2.5 2WD (7인승),23년 1월식,"44,324km","5,490만원"
현대 싼타페 TM 디젤 2.0 2WD 익스클루시브,19년 10월식(20년형),"78,573km","1,900만원"
르노코리아(삼성) XM3 가솔린 터보 1.3 RE 시그니쳐,20년 5월식,"137,413km","1,120만원"
현대 올 뉴 투싼 TL 디젤 1.6 2WD 모던,19년 5월식,"87,265km","1,490만원"
제네시스 G80 3.3 GDI AWD 프레스티지,18년 1월식,"120,953km","2,080만원"
기아 니로 프레스티지,17년 5월식(18년형),"99,666km","1,340만원"
기아 올 뉴 K3 럭셔리,20년 1월식,"35,164km","1,340만원"
현대 더 뉴 그랜저 가솔린 2.5 캘리그래피,21년 8월식(22년형),"77,256km","2,560만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 4WD 프레스티지,21년 3월식,"65,643km","2,770만원"
KG모빌리티(쌍용) 베리 뉴 티볼리 1.5 가솔린 2WD V3 스폐셜,20년 6월식(21년형),"26,955km","1,490만원"
제네시스 G70 2.0T 스포츠 패키지,19년 11월식(20년형),"94,998km","2,290만원"
기아 디 올 뉴 스포티지 2.0 디젤 2WD 프레스티지,21년 11월식(22년형),"128,058km","2,000만원"
현대 포터2 LPi 2.5 터보 카고 더블캡 초장축 프리미엄,25년 4월식,"5,184km","2,030만원"
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,21년 2월식,"105,220km","1,950만원"
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 6인승,23년 3월식,"64,855km","4,130만원"
현대 베라크루즈 디젤 4WD 300VXL 프리미엄,11년 6월식,"100,324km","1,090만원"
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,17년 9월식(18년형),"93,782km","1,320만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,23년 4월식,"29,210km","2,260만원"
기아 올 뉴 K7 2.4 GDI 노블레스,19년 2월식,"96,443km","1,530만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 4WD T7,22년 11월식(23년형),"49,445km","2,190만원"
기아 K8 가솔린 2.5 노블레스,22년 4월식,"72,403km","2,350만원"
기아 니로 프레스티지,16년 6월식(17년형),"92,667km","1,190만원"
제네시스 GV80 가솔린 2.5 AWD (5인승),21년 1월식,"121,362km","4,180만원"
현대 더 뉴 그랜저 LPG 3.0 (일반인판매용) 프리미엄,22년 2월식,"94,348km","2,050만원"
제네시스 GV80 가솔린 2.5 2WD (6인승),22년 2월식,"40,383km","5,290만원"
기아 카니발 (4세대) 디젤 2.2 (7인승) 하이리무진 시그니처,23년 1월식,"110,256km","3,590만원"
현대 올 뉴 투싼 디젤 1.7 2WD 모던,16년 5월식(17년형),"103,973km","1,150만원"
볼보 V90 크로스컨트리 B6 프로 AWD,22년 5월식,"21,649km","4,890만원"
기아 K7 프리미어 가솔린 2.5 노블레스,20년 9월식,"84,005km","2,100만원"
제네시스 GV80 디젤 3.0 AWD (5인승),20년 12월식,"100,124km","4,190만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 4WD 블랙에디션,24년 2월식,"12,505km","2,570만원"
KG모빌리티(쌍용) 티볼리 에어 디젤 IX 2WD 기본형,17년 1월식,"66,911km",990만원
기아 더 뉴 쏘렌토 4세대 디젤 2.2 2WD 시그니처,24년 6월식,"52,805km","3,580만원"
기아 스토닉 1.4 가솔린 트렌디,19년 3월식,"62,095km","1,200만원"
현대 더 뉴 그랜저 가솔린 3.3 캘리그래피,20년 11월식(21년형),"53,598km","2,550만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 시그니처,21년 3월식,"81,991km","2,870만원"
제네시스 G90 가솔린 4WD 3.8 프레스티지,21년 1월식,"74,832km","4,720만원"
기아 카니발 (4세대) 가솔린 3.5 (9인승) 시그니처,21년 3월식,"71,143km","2,650만원"
제네시스 더 뉴 G70 가솔린 터보 2.5 AWD,23년 10월식(24년형),"97,281km","3,390만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,21년 9월식(22년형),"87,789km","1,880만원"
르노코리아(삼성) QM6 디젤 4WD RE 시그니처,16년 11월식(17년형),"110,675km","1,150만원"
현대 투싼 (4세대) 1.6 터보 인스퍼레이션,23년 5월식,"16,041km","2,840만원"
BMW 5시리즈 (G30) 520d 럭셔리 스페셜 에디션,18년 3월식,"73,266km","2,350만원"
제네시스 G70 3.3T 스포츠 AWD 엘리트,20년 5월식,"77,127km","2,340만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 싼타페 TM 가솔린 2.0T 4WD 프레스티지,19년 9월식(20년형),"92,717km","2,290만원"
제네시스 G80 3.3 GDI 프레스티지,19년 4월식,"80,986km","2,290만원"
제네시스 GV70 디젤 2.2 2WD,21년 1월식,"84,072km","3,420만원"
제네시스 G80 3.3 GDI AWD 프리미엄 럭셔리,19년 9월식,"63,533km","2,150만원"
기아 프라이드(신형) 4DR 1.4 DOHC LX,11년 8월식,"39,620km",400만원
현대 올 뉴 투싼 TL 디젤 2.0 2WD 프리미엄,18년 10월식(19년형),"60,484km","1,860만원"
기아 카니발 (4세대) 가솔린 3.5 (9인승) 프레스티지,23년 1월식,"47,803km","2,650만원"
현대 더 뉴 아이오닉 하이브리드 Q,19년 6월식(20년형),"43,222km","1,850만원"
BMW X4 (G02) 디젤 4WD xDrive20d M 스포츠,19년 9월식,"36,398km","3,850만원"
현대 싼타페 TM 디젤 2.2 2WD 프레스티지,19년 1월식,"90,259km","1,930만원"
기아 디 올 뉴 스포티지 2.0 디젤 2WD 프레스티지,22년 1월식,"82,282km","2,360만원"
현대 코나 1.6 터보 2WD 모던 초이스,20년 3월식,"71,498km","1,670만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,23년 1월식,"81,882km","4,190만원"
기아 K8 하이브리드 노블레스,22년 3월식,"88,817km","2,550만원"
제네시스 GV80 가솔린 2.5 AWD (5인승),23년 4월식,"69,796km","5,250만원"
볼보 S60 3세대 가솔린 2WD B5 R-디자인,22년 1월식,"55,754km","2,990만원"
기아 스포티지 4세대 디젤 2.0 2WD 노블레스 세부등급 없음,17년 2월식,"107,871km","1,230만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 프레스티지,21년 1월식,"59,488km","2,650만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 노블레스,21년 12월식(22년형),"50,898km","2,720만원"
기아 더 뉴 K9 2세대 3.8 GDI AWD 베스트셀렉션Ⅰ,23년 2월식,"55,529km","4,090만원"
제네시스 G80 (RG3) 가솔린 터보 3.5 스포츠 패키지 AWD,22년 1월식,"121,519km","3,680만원"
