차량명,연식,주행거리,가격
BMW 3시리즈 GT (F34) GT 320d xDrive,20년 4월식,"61,511km","2,450만원"
기아 더 뉴 레이 프레스티지,20년 5월식,"46,057km","1,390만원"
르노코리아(삼성) QM3 RE,15년 8월식,"94,396km",570만원
기아 더 뉴 K5 2세대 2.0 노블레스,18년 10월식(19년형),"109,098km","1,290만원"
현대 아반떼 AD 1.6 터보 스포츠 7DCT,18년 1월식,"142,525km","1,030만원"
기아 올 뉴 K3 스탠다드,21년 5월식,"46,907km","1,260만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,21년 1월식,"44,501km","2,290만원"
르노코리아(삼성) QM6 디젤 4WD RE 시그니처,16년 12월식(17년형),"82,965km","1,220만원"
현대 팰리세이드 가솔린 3.8 4WD VIP (7인승),21년 9월식(22년형),"53,762km","3,250만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 시그니처,23년 4월식,"62,705km","3,160만원"
KG모빌리티(쌍용) 뷰티풀 코란도 가솔린 2WD C5 플러스,21년 2월식,"97,000km","1,400만원"
미니 쿠퍼 (3세대) 5도어 HIGH,17년 2월식,"90,347km","1,140만원"
현대 그랜저 HG HG300 익스클루시브,14년 7월식(15년형),"112,167km",950만원
제네시스 G80 3.3 GDI AWD 럭셔리,18년 1월식,"104,288km","1,640만원"
기아 더 뉴 봉고III 트럭 EV 카고 1톤 2WD 초장축 킹캡 GLS,22년 2월식,"81,448km","1,680만원"
현대 싼타페 DM 디젤(e-VGT) 2.0 2WD 익스클루시브 세부등급 없음,14년 6월식(15년형),"73,713km","1,180만원"
현대 쏘나타 뉴 라이즈 2.0 스마트,17년 10월식(18년형),"117,258km","1,100만원"
제네시스 GV70 가솔린 터보 2.5 스포츠 AWD,24년 1월식,"12,400km","5,100만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
KG모빌리티(쌍용) 렉스턴 스포츠 칸 디젤 2.2 4WD (다이내믹 5링크) 노블레스,20년 4월식,"86,069km","1,840만원"
기아 올 뉴 K7 2.4 GDI 리미티드,17년 4월식,"64,661km","1,470만원"
KG모빌리티(쌍용) 티볼리 아머 디젤 기어 플러스 2WD,19년 4월식,"98,350km",940만원
KG모빌리티(쌍용) 티볼리 LX 2WD 고급형,15년 10월식(16년형),"85,156km",770만원
현대 아반떼 (CN7) 가솔린 1.6 스마트,21년 2월식,"32,795km","1,560만원"
기아 더 뉴 스포티지 R 디젤 2WD 프레스티지,14년 7월식,"98,757km",900만원
기아 더 뉴 쏘렌토 디젤 2.0 2WD 럭셔리,19년 3월식(20년형),"90,681km","1,560만원"
기아 더 뉴 K3 2세대 트렌디,21년 6월식(22년형),"119,489km","1,270만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 10월식(21년형),"38,841km","1,620만원"
벤츠 GLA-클래스 X156 GLA220 프리미엄,19년 6월식,"96,263km","1,870만원"
현대 더 뉴 싼타페 가솔린 2.5 2WD 캘리그래피,23년 1월식,"20,575km","3,120만원"
기아 더 뉴 모닝 럭셔리,15년 5월식(16년형),"39,494km",720만원
기아 올 뉴 K3 스탠다드 LED팩,21년 3월식,"18,888km","1,370만원"
현대 그랜드 스타렉스 12인승 왜건 스마트,16년 9월식(17년형),"38,605km","1,490만원"
제네시스 GV70 가솔린 터보 2.5 스포츠 AWD,22년 11월식(23년형),"50,380km","3,950만원"
KG모빌리티(쌍용) 코란도 투리스모 4WD GT 9인승,14년 2월식,"112,265km",720만원
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,21년 12월식(22년형),"124,390km","2,160만원"
쉐보레(GM대우) 스파크 LT 기본형,13년 10월식(14년형),"64,232km",420만원
쉐보레(GM대우) 트랙스 1.4 LT,13년 12월식(14년형),"88,212km",520만원
현대 스타리아 LPG 3.5 카고 3인승 모던,24년 2월식,"32,994km","2,750만원"
기아 K3 프레스티지,15년 2월식,"57,902km",760만원
제네시스 GV70 가솔린 터보 2.5 스포츠 2WD,21년 3월식,"86,103km","3,750만원"
기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,13년 8월식,"76,967km",880만원
기아 더 뉴 셀토스 가솔린 터보 1.6 2WD 시그니처,23년 5월식(24년형),"31,379km","2,290만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,21년 3월식,"39,135km","2,390만원"
현대 코나 1.6 터보 2WD 모던 초이스,19년 12월식(20년형),"75,204km","1,530만원"
쉐보레(GM대우) 더 뉴 트랙스 1.4 LT 디럭스,17년 3월식,"61,850km",760만원
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
제네시스 G70 3.3T 스포츠 AWD 슈프림,18년 2월식,"94,016km","2,150만원"
기아 더 뉴 쏘울 1.6 GDi 프레스티지,18년 1월식,"85,850km","1,170만원"
현대 그랜저 IG 2.4 프리미엄 스페셜,17년 8월식(18년형),"77,803km","1,650만원"
기아 올 뉴 K7 2.4 GDI 노블레스,19년 5월식,"91,417km","1,590만원"
KG모빌리티(쌍용) 티볼리 LX 2WD 세부등급 없음,16년 10월식(17년형),"87,449km",920만원
현대 코나 디젤 1.6 2WD 프리미엄,19년 3월식,"68,053km","1,430만원"
기아 K7 프리미어 가솔린 3.0 시그니처,21년 1월식,"91,364km","2,140만원"
현대 YF 쏘나타 Y20 그랜드,10년 11월식(11년형),"31,733km",510만원
KG모빌리티(쌍용) 뷰티풀 코란도 가솔린 2WD C5 플러스,22년 4월식,"101,531km","1,390만원"
KG모빌리티(쌍용) 티볼리 VX 2WD,16년 3월식,"75,128km",890만원
기아 더 뉴 니로 노블레스 스폐셜,20년 3월식,"71,704km","2,120만원"
쉐보레(GM대우) 볼트 EV EV 프리미어,19년 12월식,"44,272km","1,820만원"
르노코리아(삼성) QM6 디젤 2WD LE,18년 6월식,"96,996km","1,080만원"
기아 더 뉴 모닝 디럭스,16년 10월식,"37,772km",690만원
르노코리아(삼성) SM5 노바 LPLi RE,15년 4월식,"47,328km",730만원
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,22년 10월식(23년형),"59,425km","2,090만원"
BMW X6 (G06) 디젤 4WD xDrive 30d M 스포츠,20년 7월식,"86,037km","6,080만원"
KG모빌리티(쌍용) 티볼리 VX 2WD,17년 3월식,"86,343km",830만원
KG모빌리티(쌍용) 토레스 가솔린 1.5 4WD T7,22년 11월식(23년형),"48,348km","2,270만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 프레스티지,22년 1월식,"49,037km","3,290만원"
현대 더 뉴 아반떼 AD 1.6 스타일,19년 7월식,"102,776km","1,170만원"
쉐보레(GM대우) 더 뉴 스파크 프리미어,19년 2월식,"47,194km",810만원
기아 올 뉴 K3 노블레스,18년 7월식(19년형),"115,127km","1,290만원"
현대 아반떼 (CN7) 가솔린 1.6 스마트,21년 5월식,"85,712km","1,340만원"
현대 코나 1.6 터보 2WD 프리미엄,20년 2월식,"34,124km","1,750만원"
기아 K7 프리미어 가솔린 2.5 노블레스,19년 9월식(20년형),"96,554km","1,770만원"
현대 팰리세이드 디젤 2.2 4WD 프레스티지 (7인승),19년 5월식,"71,557km","2,680만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
기아 셀토스 가솔린 터보 1.6 2WD 그래비티,21년 5월식(22년형),"87,280km","1,860만원"
KG모빌리티(쌍용) 티볼리 에어 가솔린 1.6 IX 2WD,18년 6월식,"112,405km",870만원
기아 K5 3세대 가솔린 2.0 노블레스,20년 10월식(21년형),"101,644km","1,780만원"
현대 팰리세이드 디젤 2.2 2WD 캘리그래피 (7인승),21년 10월식(22년형),"33,497km","3,320만원"
르노코리아(삼성) QM6 디젤 4WD RE 플러스,17년 12월식,"111,670km",970만원
현대 팰리세이드 가솔린 3.8 4WD 캘리그래피 (7인승),21년 10월식(22년형),"48,198km","2,820만원"
기아 스토닉 1.4 가솔린 트렌디,18년 3월식,"108,118km","1,070만원"
현대 캐스퍼 가솔린 1.0 터보 스마트,24년 2월식,104km,"1,520만원"
현대 투싼 하이브리드 (4세대) 1.6 터보 2WD 프리미엄,21년 12월식(22년형),"89,171km","2,450만원"
현대 더 뉴 그랜저 가솔린 3.3 익스클루시브,20년 7월식,"81,554km","2,150만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,21년 8월식,"69,348km","1,730만원"
기아 더 뉴 쏘렌토 디젤 2.0 4WD 프레스티지,18년 12월식(19년형),"64,057km","1,750만원"
르노코리아(삼성) QM6 가솔린 2WD RE,19년 4월식,"101,149km","1,290만원"
제네시스 G90 가솔린 4WD 3.8 프리미엄 럭셔리,21년 1월식,"30,920km","4,630만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,20년 5월식(21년형),"81,892km","3,360만원"
쉐보레(GM대우) 이쿼녹스 2WD LT 세부등급 없음,19년 6월식,"82,902km",990만원
르노코리아(삼성) 캡처 가솔린 1.3 에디션 파리,20년 10월식,"115,290km","1,240만원"
현대 베뉴 1.6 모던,19년 8월식(20년형),"25,969km","1,490만원"
쉐보레(GM대우) 더 뉴 트랙스 1.4 프리미어,18년 12월식(19년형),"75,371km",990만원
르노코리아(삼성) SM6 2.0 GDe SE,19년 3월식,"71,404km",890만원
현대 투싼 (4세대) 1.6 터보 어드벤처,23년 9월식,"24,910km","3,120만원"
기아 올 뉴 K7 2.4 GDI 노블레스,19년 2월식,"97,952km","1,520만원"
기아 스포티지 4세대 디젤 1.7 2WD 노블레스 세부등급 없음,16년 1월식,"50,623km","1,280만원"
쉐보레(GM대우) 스파크 LS 기본형,14년 5월식,"44,552km",370만원
기아 올 뉴 카니발 9인승 노블레스,15년 9월식(16년형),"118,391km","1,200만원"
벤츠 E-클래스 W213 E250 익스클루시브,22년 6월식,"39,142km","4,170만원"
현대 아반떼 AD 1.6 e-VGT 프리미엄,17년 4월식(18년형),"113,050km","1,030만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 쏘나타 뉴 라이즈 2.0 모던,17년 8월식(18년형),"51,766km","1,570만원"
현대 뉴 투싼 ix 디젤(e-VGT) 2WD 스마트 스페셜,14년 8월식(15년형),"89,369km",900만원
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,21년 4월식,"42,997km","1,830만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,20년 9월식(21년형),"63,019km","2,450만원"
기아 더 뉴 카니발 7인승 리무진 프레지던트,18년 5월식(19년형),"96,553km","1,950만원"
BMW 1시리즈 (F20) 118d 스포츠 5도어,18년 12월식,"116,343km","1,390만원"
현대 뉴 투싼 ix 디젤(e-VGT) 2WD 모던,14년 7월식(15년형),"81,548km",950만원
쉐보레(GM대우) 올 뉴 크루즈 1.4 터보 LTZ 세부등급 없음,17년 12월식,"54,117km",690만원
현대 코나 1.6 터보 2WD 아이언맨 에디션,19년 7월식,"126,829km","1,230만원"
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,17년 7월식(18년형),"109,737km","1,290만원"
쉐보레(GM대우) 더 넥스트 스파크 LT 플러스,16년 3월식,"34,439km",640만원
기아 더 뉴 기아 레이 밴 (2인승) 프레스티지 스페셜,23년 9월식,"17,252km","1,290만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i xline,22년 1월식,"55,066km","7,350만원"
기아 더 뉴 레이 밴 (2인승) 프레스티지 스폐셜,22년 6월식,"17,564km","1,190만원"
기아 올 뉴 K7 2.4 GDI 리미티드,17년 3월식,"74,646km","1,550만원"
쉐보레(GM대우) 더 넥스트 스파크 LTZ,17년 6월식,"55,451km",610만원
르노코리아(삼성) QM6 가솔린 2WD RE 시그니처,18년 11월식(19년형),"57,338km","1,540만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,21년 3월식(22년형),"77,235km","2,070만원"
아우디 뉴 A6 (C7) 40 TDI 콰트로 프리미엄 C7,15년 11월식(16년형),"87,632km","1,590만원"
쉐보레(GM대우) 스파크 LT 기본형,14년 8월식,"62,632km",450만원
현대 아반떼 MD M16 GDI 럭셔리,12년 1월식,"58,491km",570만원
현대 베뉴 1.6 모던,20년 3월식,"60,326km","1,360만원"
현대 더 뉴 싼타페 가솔린 2.5 2WD 캘리그래피,21년 4월식,"78,728km","2,750만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 밸류 플러스,17년 6월식(18년형),"100,550km","1,460만원"
기아 올 뉴 K7 2.4 GDI 리미티드,17년 8월식,"102,380km","1,320만원"
현대 스타리아 디젤 2.2 투어러 (9인승) 2WD 모던,22년 11월식(23년형),"76,070km","2,490만원"
기아 K7 프리미어 가솔린 2.5 X 에디션,21년 3월식,"69,697km","2,070만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 LF 쏘나타 2.0 스마트 세부등급 없음,14년 5월식(15년형),"111,753km",930만원
KG모빌리티(쌍용) 렉스턴 스포츠 디젤 2.2 4WD 노블레스,20년 6월식(21년형),"94,456km","1,950만원"
현대 LF 쏘나타 2.0 스마트 스페셜,16년 12월식(17년형),"123,020km",970만원
제네시스 G80 3.3 GDI AWD 럭셔리,18년 11월식(19년형),"94,081km","1,950만원"
BMW 1시리즈 (F20) 118d 스포츠 5도어,15년 4월식,"128,063km","1,020만원"
현대 쏘나타 DN8 하이브리드 프리미엄 플러스,21년 12월식(22년형),"110,942km","1,880만원"
기아 올 뉴 K3 노블레스,18년 12월식(19년형),"95,660km","1,330만원"
현대 싼타페 DM 디젤(e-VGT) 2.0 2WD 익스클루시브 세부등급 없음,13년 6월식(14년형),"122,607km","1,180만원"
현대 올 뉴 투싼 TL 가솔린 1.6 터보 2WD 프리미엄,18년 11월식(19년형),"42,267km","2,050만원"
기아 니로 노블레스,18년 7월식,"83,973km","1,530만원"
현대 쏘나타 DN8 2.0 가솔린 인스퍼레이션,19년 8월식(20년형),"108,956km","1,630만원"
현대 그랜저 HG HG300 프리미엄,16년 10월식,"89,843km",980만원
현대 LF 쏘나타 2.0 스타일 스페셜,16년 2월식,"91,047km",990만원
현대 LF 쏘나타 2.0 스타일 스페셜,15년 9월식(16년형),"97,971km","1,050만원"
현대 베뉴 1.6 플럭스,21년 2월식,"76,001km","1,620만원"
벤츠 GLC-클래스 X253 GLC300 4MATIC,20년 4월식,"82,072km","3,390만원"
현대 베뉴 1.6 스마트,19년 11월식(20년형),"42,219km","1,310만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 2WD,21년 7월식,"31,528km","3,450만원"
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,21년 3월식,"100,042km","2,270만원"
르노코리아(삼성) SM3 네오 SE,15년 1월식,"66,097km",520만원
현대 더 뉴 그랜저 가솔린 3.3 익스클루시브,21년 3월식,"92,238km","2,230만원"
기아 더 뉴 카니발 7인승 리무진 프레지던트,18년 11월식(19년형),"102,783km","1,890만원"
현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,14년 6월식,"121,156km",590만원
현대 코나 1.6 터보 2WD 모던 아트,18년 5월식,"81,206km","1,340만원"
BMW 5시리즈 (F10) 528i xDrive,15년 6월식,"79,142km","1,450만원"
KG모빌리티(쌍용) 티볼리 디젤 LX 2WD,17년 8월식,"62,304km",920만원
현대 코나 하이브리드 가솔린 1.6 하이브리드 모던 스폐셜,20년 4월식,"97,427km","1,520만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 아슬란 G330 프리미엄,15년 11월식(16년형),"78,858km","1,240만원"
KG모빌리티(쌍용) 올 뉴 렉스턴 디젤 2.2 4WD 프레스티지,20년 12월식(21년형),"102,700km","2,420만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,22년 5월식(23년형),"48,343km","1,640만원"
기아 더 뉴 레이 럭셔리,20년 4월식,"31,011km","1,190만원"
르노코리아(삼성) XM3 가솔린 터보 1.3 RE,20년 3월식,"68,439km","1,270만원"
현대 더 뉴 맥스크루즈 디젤 2.2 4WD 파이니스트 에디션,16년 7월식(17년형),"96,137km","1,740만원"
기아 더 프레스티지 K7 2.4 GDI 럭셔리,11년 8월식(12년형),"64,022km",690만원
기아 올 뉴 K7 2.4 GDI 리미티드,18년 5월식,"172,523km","1,050만원"
기아 셀토스 가솔린 터보 1.6 4WD 프레스티지,20년 3월식,"38,006km","1,850만원"
미니 쿠퍼 (3세대) D 기본형,17년 8월식(18년형),"87,234km",880만원
현대 코나 1.6 터보 4WD 프리미엄,18년 5월식,"113,287km","1,490만원"
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 칸 쿨멘 디젤 2.2 4WD 프레스티지,24년 7월식,"21,204km","2,750만원"
KG모빌리티(쌍용) 더 뉴 토레스 가솔린 터보 1.5 2WD T7,24년 7월식(25년형),"27,070km","2,480만원"
기아 올 뉴 카니발 9인승 럭셔리,16년 3월식,"121,598km","1,090만원"
현대 쏘나타 DN8 2.0 가솔린 프리미엄,21년 2월식,"44,824km","1,680만원"
르노코리아(삼성) 더 뉴 SM6 가솔린 터보 1.8 프리미에르,21년 2월식,"41,867km","1,990만원"
현대 코나 1.6 터보 2WD 프리미엄,20년 3월식,"101,957km","1,490만원"
제네시스 GV80 가솔린 2.5 AWD (5인승),21년 3월식,"108,221km","4,180만원"
기아 K5 2.0 럭셔리,11년 4월식,"74,280km",470만원
현대 쏘나타 DN8 1.6 터보 인스퍼레이션,21년 3월식,"87,397km","2,100만원"
기아 더 뉴 모닝 스마트,15년 12월식(16년형),"64,779km",520만원
기아 더 뉴 카렌스 2.0 LPI 럭셔리,18년 7월식,"51,862km","1,160만원"
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 5인승,20년 4월식,"98,325km","2,950만원"
현대 팰리세이드 가솔린 3.8 4WD 프레스티지 (7인승),19년 3월식,"75,844km","2,250만원"
현대 아반떼 MD M16 GDI 스마트,12년 11월식(13년형),"113,278km",480만원
현대 아반떼 AD 1.6 GDI 스타일,16년 12월식(17년형),"112,884km",730만원
현대 캐스퍼 가솔린 1.0 인스퍼레이션,21년 12월식(22년형),"42,142km","1,550만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 익스클루시브,16년 6월식,"124,265km","1,260만원"
기아 카니발 (4세대) 가솔린 3.5 (7인승) 시그니처,21년 4월식,"72,085km","2,750만원"
현대 쏘나타 DN8 1.6 터보 프리미엄 밀레니얼,20년 10월식(21년형),"23,043km","2,280만원"
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,22년 12월식(23년형),"23,285km","2,190만원"
기아 K5 3세대 가솔린 2.0 시그니처,20년 9월식,"34,736km","2,360만원"
현대 쏘나타 DN8 하이브리드 인스퍼레이션,20년 3월식,"121,711km","1,880만원"
기아 올 뉴 K7 3.0 GDI 리미티드,18년 4월식,"120,312km","1,540만원"
현대 i30 (PD) 1.4 터보 프리미엄,18년 9월식,"119,002km","1,140만원"
현대 싼타페 TM 가솔린 2.0T 2WD 익스클루시브,20년 10월식,"33,383km","2,250만원"
기아 올 뉴 K7 2.4 GDI 리미티드,17년 11월식,"53,525km","1,560만원"
제네시스 G80 3.3 T-GDI AWD 스포츠,17년 1월식,"65,825km","3,080만원"
쉐보레(GM대우) 더 뉴 스파크 LT,20년 1월식,"98,980km",650만원
벤츠 A-클래스 W177 가솔린 2WD A220 세단,21년 2월식,"47,820km","2,220만원"
쉐보레(GM대우) 임팔라 3.6 LTZ,16년 2월식,"104,303km",980만원
기아 쏘렌토 4세대 디젤 2.2 2WD 프레스티지,20년 5월식(21년형),"116,065km","2,050만원"
제네시스 GV70 가솔린 터보 2.5 AWD,21년 2월식,"108,496km","3,550만원"
기아 K3 럭셔리,13년 8월식,"73,428km",580만원
제네시스 GV70 가솔린 터보 2.5 스포츠 2WD,22년 2월식,"67,443km","4,190만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 익스클루시브 스페셜,15년 10월식(16년형),"50,338km","1,450만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 4WD T7,23년 1월식,"29,540km","2,390만원"
제네시스 GV80 가솔린 2.5 AWD (5인승),22년 1월식,"60,377km","5,020만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,21년 1월식,"91,453km","2,180만원"
쉐보레(GM대우) 더 뉴 스파크 프리미어,20년 4월식,"14,093km",910만원
미니 쿠퍼 (3세대) 5도어 D HIGH,18년 11월식,"80,486km","1,350만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 노블레스,21년 8월식(22년형),"106,517km","2,790만원"
현대 더 뉴 맥스크루즈 가솔린 3.3 2WD 익스클루시브,17년 1월식,"78,218km","1,460만원"
KG모빌리티(쌍용) 베리 뉴 티볼리 1.5 가솔린 2WD V3,22년 3월식,"93,588km","1,190만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
