Brand,Model,Year,Mileage,Price
기아,카니발,2022,60277,2600
현대,아이오닉,2024,19603,3930
기아,셀토스,2022,89370,1890
기아,K7,2021,74258,1720
기아,쏘렌토,2021,79769,3070
제네시스,G90,2022,84436,5650
현대,그랜저,2023,43736,3600
기아,K8,2023,91376,2580
아우디,A6,2022,79238,3710
기아,K7,2021,107047,2120
기아,더 뉴 K3,2022,92801,1490
현대,아반떼,2017,73045,990
현대,그랜저,2023,41992,3180
아우디,A4,2019,52035,1890
기아,K8,2022,47265,2550
제네시스,G80,2024,31979,5970
제네시스,GV70,2022,58169,3790
제네시스,GV70,2023,37971,4490
현대,더 뉴 그랜드,2021,43270,1850
제네시스,G90,2023,60627,7690
기아,K7,2015,133226,930
현대,그랜저,2017,55391,1550
볼보,S90,2021,74333,3180
현대,포터2,2024,8448,2080
기아,K8,2023,60930,2660
기아,더 뉴 카니발,2018,61985,2130
기아,K5,2021,50530,2090
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
현대,싼타페,2013,98302,850
기아,K5,2020,46878,1500
미니,쿠퍼,2023,9991,2310
기아,K5,2017,120995,1040
현대,더 뉴 그랜저,2021,90925,1950
현대,올 뉴 투싼,2017,77128,1450
현대,아반떼,2022,33171,1710
기아,카니발,2021,96086,2690
현대,쏘나타,2019,110199,1590
현대,더 뉴 그랜저,2021,93580,2450
기아,K8,2022,43928,3030
기아,더 뉴 카렌스,2018,64489,1380
제네시스,G90,2022,150286,5890
현대,코나,2019,75840,1440
기아,카니발,2021,79621,2240
제네시스,G80,2020,103291,3190
기아,올 뉴 K7,2017,78120,1290
현대,더 뉴 코나,2021,118976,1930
현대,그랜저,2023,42521,3590
BMW,X7,2023,63829,9400
현대,디 올 뉴 싼타페,2024,14804,4080
기아,더 뉴 K5,2024,55288,2530
제네시스,G90,2022,91532,5990
기아,셀토스,2021,82047,1700
기아,카니발,2022,37826,2770
현대,쏘나타,2019,55551,1550
쉐보레(GM대우),임팔라,2018,87560,1010
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
기아,K5,2021,74492,1890
현대,팰리세이드,2020,60543,3180
기아,셀토스,2020,94147,1800
BMW,X3,2021,55192,4290
KG모빌리티(쌍용),더 뉴 토레스,2024,21377,2500
기아,모닝,2021,30043,1090
현대,더 뉴 그랜저,2022,79012,2190
기아,더 뉴 레이,2022,26414,1310
제네시스,G80,2022,85245,3850
현대,더 뉴 아반떼,2026,1210,3050
제네시스,GV80,2023,44324,5490
현대,싼타페,2019,78573,1900
르노코리아(삼성),XM3,2020,137413,1120
현대,올 뉴 투싼,2019,87265,1490
제네시스,G80,2018,120953,2080
기아,니로,2017,99666,1340
기아,올 뉴 K3,2020,35164,1340
현대,더 뉴 그랜저,2021,77256,2560
기아,쏘렌토,2021,65643,2770
KG모빌리티(쌍용),베리,2020,26955,1490
제네시스,G70,2019,94998,2290
기아,디 올 뉴 스포티지,2021,128058,2000
현대,포터2,2025,5184,2030
현대,더 뉴 그랜저,2021,105220,1950
기아,모하비,2023,64855,4130
현대,베라크루즈,2011,100324,1090
현대,그랜저,2017,93782,1320
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
KG모빌리티(쌍용),토레스,2023,29210,2260
기아,올 뉴 K7,2019,96443,1530
KG모빌리티(쌍용),토레스,2022,49445,2190
기아,K8,2022,72403,2350
기아,니로,2016,92667,1190
제네시스,GV80,2021,121362,4180
현대,더 뉴 그랜저,2022,94348,2050
제네시스,GV80,2022,40383,5290
기아,카니발,2023,110256,3590
현대,올 뉴 투싼,2016,103973,1150
볼보,V90,2022,21649,4890
기아,K7,2020,84005,2100
제네시스,GV80,2020,100124,4190
KG모빌리티(쌍용),토레스,2024,12505,2570
KG모빌리티(쌍용),티볼리,2017,66911,990
기아,더 뉴 쏘렌토,2024,52805,3580
기아,스토닉,2019,62095,1200
현대,더 뉴 그랜저,2020,53598,2550
기아,카니발,2021,81991,2870
제네시스,G90,2021,74832,4720
기아,카니발,2021,71143,2650
제네시스,더 뉴 G70,2023,97281,3390
기아,셀토스,2021,87789,1880
르노코리아(삼성),QM6,2016,110675,1150
현대,투싼,2023,16041,2840
BMW,5시리즈,2018,73266,2350
제네시스,G70,2020,77127,2340
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
현대,싼타페,2019,92717,2290
제네시스,G80,2019,80986,2290
제네시스,GV70,2021,84072,3420
제네시스,G80,2019,63533,2150
기아,프라이드(신형),2011,39620,400
현대,올 뉴 투싼,2018,60484,1860
기아,카니발,2023,47803,2650
현대,더 뉴 아이오닉,2019,43222,1850
BMW,X4,2019,36398,3850
현대,싼타페,2019,90259,1930
기아,디 올 뉴 스포티지,2022,82282,2360
현대,코나,2020,71498,1670
제네시스,G80,2023,81882,4190
기아,K8,2022,88817,2550
제네시스,GV80,2023,69796,5250
볼보,S60,2022,55754,2990
기아,스포티지,2017,107871,1230
기아,쏘렌토,2021,59488,2650
기아,카니발,2021,50898,2720
기아,더 뉴 K9,2023,55529,4090
제네시스,G80,2022,121519,3680
현대,더 뉴 싼타페,2023,41225,2960
기아,셀토스,2021,65728,1770
BMW,X6,2020,96976,5700
기아,더 뉴 니로,2020,93255,1750
현대,넥쏘,2020,76216,1730
기아,K8,2021,76529,2730
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
기아,K5,2021,65667,2080
기아,모닝,2022,28888,1230
제네시스,G80,2018,124139,1820
제네시스,GV80,2024,6655,7790
현대,코나,2026,848,2350
기아,모하비,2022,58622,3850
현대,쏘나타,2020,93324,1980
제네시스,G80,2020,78479,3730
BMW,X7,2022,78520,8300
기아,올 뉴 K3,2018,89178,1090
현대,아반떼,2021,53632,1710
기아,카니발,2021,42622,2790
기아,카니발,2021,46666,2190
현대,싼타페,2019,99513,2020
제네시스,GV70,2023,56153,4680
KG모빌리티(쌍용),토레스,2023,31475,2290
현대,그랜저,2024,31345,3830
기아,더 뉴 K7,2016,58588,960
현대,더 뉴 투싼,2024,37736,3350
제네시스,GV80,2022,104961,4090
기아,카니발,2023,18302,3870
제네시스,GV70,2023,13157,4190
현대,투싼,2021,82959,2290
제네시스,G70,2019,62623,2450
기아,더 뉴 니로,2021,100303,1770
현대,아반떼,2021,54318,1750
현대,디 올 뉴 싼타페,2024,17193,3400
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
현대,더 뉴 투싼,2025,4359,3170
현대,쏘나타,2019,86650,1570
KG모빌리티(쌍용),더 뉴 티볼리,2023,50321,1250
기아,K5,2022,48562,2010
제네시스,GV80,2022,115594,3800
기아,K5,2021,46774,1990
KG모빌리티(쌍용),뷰티풀,2020,83837,1300
벤츠,GLE-클래스,2021,70968,6350
BMW,X6,2022,49897,7390
기아,더 뉴 기아,2023,24451,1550
BMW,X4,2021,14274,4740
르노코리아(삼성),SM6,2016,113455,700
제네시스,GV80,2024,60995,5650
현대,포터2,2021,50371,1720
KG모빌리티(쌍용),베리,2022,1767,1820
제네시스,G70,2019,102912,2480
아우디,A4,2021,90246,2170
현대,아반떼,2023,17335,2310
기아,모하비,2021,93270,3190
