Brand,Model,Year,Mileage,Price
현대,팰리세이드,2021,79816,3050
기아,모닝,2023,16917,1130
현대,더 뉴 싼타페,2023,48076,3280
쉐보레(GM대우),스파크,2014,64605,450
현대,아반떼,2022,49897,1730
지프,레니게이드,2019,61328,1230
쉐보레(GM대우),더 뉴 트랙스,2021,26100,1090
KG모빌리티(쌍용),토레스,2024,33240,2380
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
벤츠,C-클래스,2023,10792,4750
기아,카니발,2021,55087,2360
BMW,1시리즈,2021,33965,2290
인피니티,Q30,2019,77399,1030
기아,타스만,2025,3209,4150
벤츠,AMG,2023,34662,8800
제네시스,GV80,2024,15967,8490
폭스바겐,올 뉴 제타,2020,48801,1690
기아,디 올 뉴 스포티지,2021,50450,1730
쉐보레(GM대우),더 뉴 트래버스,2022,83725,2630
현대,더 뉴 그랜저,2022,75261,2480
폭스바겐,올 뉴 제타,2020,54519,1700
쉐보레(GM대우),더 뉴 말리부,2021,51477,1390
쉐보레(GM대우),더 뉴 트래버스,2023,50290,3200
현대,디 올 뉴 싼타페,2023,21309,4120
제네시스,GV80,2021,102041,3900
기아,더 뉴 쏘렌토,2025,12997,3950
기아,타스만,2025,7132,4730
기아,모하비,2021,43016,3860
KG모빌리티(쌍용),티볼리,2019,91026,930
현대,쏘나타,2021,151038,1520
기아,올 뉴 프라이드,2014,75775,550
현대,더 뉴 맥스크루즈,2016,103702,1750
르노코리아(삼성),SM6,2016,85657,840
현대,쏘나타,2013,69698,660
현대,올 뉴 투싼,2020,61847,1620
벤츠,E-클래스,2021,109184,3220
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
쉐보레(GM대우),더 뉴 스파크,2019,29188,850
기아,쏘렌토,2020,106635,2480
현대,그랜저,2019,81912,1710
제네시스,GV70,2022,22592,4350
기아,더 뉴 레이,2020,78285,920
현대,아반떼,2021,80813,1800
기아,더 뉴 카니발,2019,91169,1880
기아,K7,2016,121379,1190
현대,아반떼,2018,126457,1030
기아,더 뉴 카니발,2018,132893,1680
기아,K5,2017,107993,890
기아,K3,2014,72206,650
기아,스포티지,2015,91841,1150
KG모빌리티(쌍용),더 뉴 티볼리,2024,15709,1890
현대,더 뉴 아반떼,2014,104745,630
기아,더 뉴 모닝,2016,9001,610
기아,K3,2014,95633,580
현대,아슬란,2016,112869,1090
쉐보레(GM대우),말리부,2015,86198,540
현대,베뉴,2020,104096,1470
KG모빌리티(쌍용),렉스턴,2019,81494,1760
기아,더 뉴 카니발,2018,155956,1670
현대,i30,2018,65398,1050
기아,K7,2019,71744,2090
닛산,맥시마,2017,103691,1090
기아,쏘렌토,2021,91369,2380
기아,K7,2020,65369,2090
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
지프,랭글러,2017,68497,2490
기아,K3,2013,71756,690
벤츠,GLC-클래스,2020,49622,3920
현대,그랜저,2013,39698,900
기아,레이,2015,47005,730
르노코리아(삼성),더 뉴 SM6,2021,91479,1570
기아,더 뉴 카니발,2024,23568,4480
현대,더 뉴 그랜저,2019,65178,2150
현대,더 뉴 아반떼,2023,33693,2800
기아,더 뉴 K3,2016,78220,1190
현대,i30,2018,43723,1320
BMW,2시리즈,2023,11061,3320
기아,K5,2022,51739,1990
현대,더 뉴 투싼,2024,27123,3090
현대,아반떼,2017,171029,690
현대,아반떼,2017,94240,1060
벤츠,A-클래스,2020,33246,2160
제네시스,G80,2017,61205,2290
현대,싼타페,2015,108113,1390
기아,더 뉴 모닝,2016,28885,790
링컨,코세어,2022,24132,3190
기아,모닝,2020,33221,750
BMW,X3,2021,103034,3910
현대,쏘나타,2019,99211,1410
기아,더 뉴 쏘렌토,2024,33692,3850
기아,올 뉴 모닝,2014,76177,570
기아,K5,2021,99234,1890
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
제네시스,G80,2020,94647,2160
현대,올 뉴 투싼,2018,77277,1250
기아,올 뉴 K3,2020,60738,1310
기아,K8,2022,43192,3050
기아,셀토스,2022,53841,2090
미니,쿠퍼,2021,63475,1800
현대,포터2,2023,10026,1910
현대,팰리세이드,2022,56134,3220
기아,디 올 뉴 스포티지,2022,25543,2330
제네시스,GV70,2022,40399,4190
현대,더 뉴 제네시스,2015,101213,1550
기아,더 뉴 모닝,2023,24861,1550
지프,랭글러,2017,77865,2320
현대,올 뉴 투싼,2018,40978,2090
KG모빌리티(쌍용),뷰티풀,2022,45187,1940
쉐보레(GM대우),트랙스,2025,8003,2190
쉐보레(GM대우),말리부,2012,99317,460
제네시스,G80,2019,87528,2550
르노코리아(삼성),SM6,2017,56820,1020
KG모빌리티(쌍용),렉스턴,2021,70842,1920
현대,싼타페,2017,55782,1510
쉐보레(GM대우),트랙스,2023,23930,2090
KG모빌리티(쌍용),더 뉴 렉스턴,2022,24057,2650
쉐보레(GM대우),더,2017,57538,620
제네시스,GV70,2021,106167,3320
기아,더 뉴 봉고III,2025,9635,1920
기아,더 뉴 카니발,2020,67688,1690
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
르노코리아(삼성),QM6,2018,119974,1220
BMW,X4,2021,24673,4370
현대,i30(신형),2013,85506,650
현대,더 뉴 그랜저,2021,81951,2310
현대,팰리세이드,2020,78844,2720
기아,카니발,2022,62522,2520
현대,그랜저,2019,120369,1590
기아,올 뉴 카니발,2017,95520,1180
KG모빌리티(쌍용),토레스,2023,18907,2290
기아,더,2019,94044,2350
기아,K5,2020,59539,1950
기아,더 뉴 봉고III,2024,25463,2250
제네시스,GV80,2020,106762,4050
현대,그랜저,2023,30768,3170
현대,더 뉴 그랜저,2020,117006,2350
기아,카니발,2023,79783,2480
기아,K7,2019,111856,1970
르노코리아(삼성),XM3,2023,57599,1960
현대,아반떼,2018,70450,1150
현대,디 올 뉴 팰리세이드,2025,5353,4790
르노코리아(삼성),SM6,2016,58322,840
기아,K8,2022,49322,2520
현대,아반떼,2017,89509,1030
현대,더 뉴 그랜저,2022,59947,2780
기아,올 뉴 카니발,2014,114540,1090
기아,카니발,2021,125678,2150
르노코리아(삼성),QM6,2016,94256,1150
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
현대,아반떼,2018,34060,1330
쉐보레(GM대우),스파크,2015,29864,520
쉐보레(GM대우),더,2015,92650,550
현대,팰리세이드,2021,33587,2720
현대,아이오닉,2018,97208,1540
지프,랭글러,2022,65905,4480
현대,아반떼,2020,79926,1670
제네시스,G80,2017,107523,1950
기아,더 뉴 카니발,2018,61588,1950
쉐보레(GM대우),더,2016,52664,620
현대,LF,2014,73314,1140
기아,카니발,2020,86908,2590
기아,K3,2013,125765,590
기아,카니발,2022,38251,2890
KG모빌리티(쌍용),토레스,2023,15871,2290
르노코리아(삼성),QM5,2014,56310,790
기아,더 뉴 카니발,2018,102289,1480
현대,베뉴,2021,91882,1340
현대,더 뉴 싼타페,2020,107153,2390
르노코리아(삼성),아르카나,2025,603,2050
현대,아반떼,2017,32959,1130
기아,더 뉴 쏘렌토,2018,108583,1860
쉐보레(GM대우),올 뉴 말리부,2017,110930,820
현대,올 뉴 투싼,2016,15200,1500
기아,쏘렌토,2021,84220,2640
현대,올 뉴 투싼,2017,114183,1130
현대,넥쏘,2022,60028,2130
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
현대,쏘나타,2017,137630,1180
기아,올 뉴 K7,2016,86947,1150
지프,랭글러,2021,50413,4350
기아,K7,2020,99114,1920
쉐보레(GM대우),더 뉴 트랙스,2017,104106,860
기아,레이,2013,88415,630
기아,더 뉴 니로,2019,130223,1770
기아,올 뉴 카니발,2018,116668,1420
KG모빌리티(쌍용),티볼리,2017,63627,910
기아,쏘렌토,2021,92899,2520
현대,그랜저,2017,98057,1360
BMW,3시리즈,2015,131995,1290
BMW,X7,2022,35484,9430
기아,올 뉴 쏘렌토,2015,81452,1470
현대,더 뉴 아반떼,2023,71917,2280
쉐보레(GM대우),더 뉴 트랙스,2019,40209,990
르노코리아(삼성),캡처,2020,42971,1270
제네시스,G80,2017,107144,2290
벤츠,E-클래스,2018,101665,2140
쉐보레(GM대우),올란도,2014,60943,640
현대,더 뉴 그랜저,2021,96647,2170
BMW,X6,2022,46127,7690
기아,스포티지,2018,81935,1290
기아,스팅어,2018,162368,1690
현대,벨로스터-N,2019,106506,1450
현대,그랜저,2018,100726,1360
현대,그랜저,2018,118857,1290
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
제네시스,GV70,2023,18956,4220
벤츠,CLA-클래스,2017,88431,1470
아우디,A4,2020,59133,2100
KG모빌리티(쌍용),티볼리,2019,67943,1080
현대,쏘나타,2021,71977,2040
쉐보레(GM대우),더 뉴 트랙스,2020,54954,1150
현대,더 뉴 아반떼,2015,54869,760
KG모빌리티(쌍용),티볼리,2022,96078,1390
쉐보레(GM대우),더,2016,54576,670
벤츠,GLS-클래스,2018,91816,4250
현대,싼타페,2018,94677,1650
기아,니로,2017,61831,1560
르노코리아(삼성),QM3,2015,71621,620
현대,아반떼,2020,63125,1840
현대,아반떼,2020,79431,1680
현대,더 뉴 그랜저,2021,95459,2060
기아,더 뉴 레이,2021,48457,950
기아,카니발,2021,69052,2790
기아,올 뉴 모닝,2011,32792,610
현대,더 뉴 아반떼,2024,30591,2140
현대,그랜저,2015,140755,690
벤츠,A-클래스,2020,45540,2250
현대,그랜저,2018,98120,1650
기아,스포티지,2018,72693,1470
현대,팰리세이드,2021,37349,2940
제네시스,GV70,2021,34312,4050
기아,올 뉴 모닝,2017,40487,880
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
쉐보레(GM대우),트래버스,2020,89193,2190
현대,더 뉴 그랜저,2020,98886,2450
기아,쏘렌토,2020,98062,2640
현대,아슬란,2016,72951,1350
현대,올 뉴 투싼,2020,69487,1610
미니,쿠퍼,2022,39063,3150
현대,더 뉴 아반떼,2014,99811,690
쉐보레(GM대우),올 뉴 말리부,2016,125227,660
현대,쏘나타,2020,127058,1270
제네시스,GV80,2023,15132,6250
현대,아반떼,2010,84870,490
기아,모하비,2022,71210,3800
KG모빌리티(쌍용),티볼리,2018,134921,900
현대,LF,2016,117537,1050
기아,올 뉴 카니발,2017,86945,1490
현대,올 뉴 투싼,2016,29795,1280
KG모빌리티(쌍용),더 뉴 렉스턴,2022,68916,2550
현대,쏘나타,2021,118827,1620
쉐보레(GM대우),더 뉴 트랙스,2020,80406,1090
기아,더 뉴 레이,2022,21429,1590
현대,제네시스,2014,51902,1540
포드,익스플로러,2019,112453,1730
기아,스포티지,2016,81463,1390
기아,K5,2016,92754,930
기아,올 뉴 모닝,2012,52609,490
쉐보레(GM대우),더 뉴 스파크,2019,49236,790
현대,LF,2015,43875,1250
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
기아,더 뉴 레이,2020,49289,920
르노코리아(삼성),QM5,2015,134168,620
현대,더 뉴 아반떼,2014,100026,680
현대,아슬란,2015,128001,950
쉐보레(GM대우),더,2022,58831,2170
기아,카니발,2021,103752,2840
KG모빌리티(쌍용),렉스턴,2020,88371,1660
르노코리아(삼성),SM6,2019,87385,970
현대,i40,2014,51417,1020
KG모빌리티(쌍용),티볼리,2015,83568,910
제네시스,G80,2017,133887,1490
쉐보레(GM대우),더 뉴 스파크,2020,47655,890
기아,모닝,2021,51532,730
쉐보레(GM대우),올 뉴 말리부,2017,93748,890
기아,K5,2013,124347,570
현대,그랜드,2017,133131,1220
기아,카니발,2023,37184,3280
제네시스,G80,2019,90450,2550
현대,스타리아,2021,72167,3140
기아,K7,2019,73307,1790
현대,싼타페,2014,116228,950
현대,쏘나타,2021,43641,2170
포드,익스플로러,2022,62076,3890
현대,코나,2023,67743,2250
르노코리아(삼성),더 뉴 SM6,2022,25302,2210
기아,더 뉴 카니발,2019,98815,2050
현대,투싼,2021,45204,2390
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
기아,레이,2017,25893,970
기아,더 뉴 K3,2016,35966,820
기아,카니발,2022,92069,2230
기아,올 뉴 모닝,2018,49941,990
현대,그랜저,2016,113569,1090
기아,K5,2022,33610,2670
현대,코나,2018,109500,1320
현대,베뉴,2022,24292,1870
르노코리아(삼성),뉴,2020,80322,1690
기아,더 뉴 봉고III,2024,51507,1830
BMW,5시리즈,2021,42137,4490
기아,K8,2021,48659,2560
현대,올 뉴 투싼,2019,59025,1550
벤츠,A-클래스,2023,29796,3590
르노코리아(삼성),XM3,2023,45092,1990
제네시스,GV80,2023,21267,4990
현대,아반떼,2018,117035,980
기아,더 뉴 모닝,2015,112415,530
현대,더 뉴 그랜저,2021,63623,2690
현대,더 뉴 팰리세이드,2024,13184,4160
현대,그랜저,2019,92088,1970
KG모빌리티(쌍용),티볼리,2022,16684,1770
현대,더 뉴 그랜저,2020,97419,1960
현대,코나,2024,9080,2600
현대,아반떼,2012,86517,620
기아,레이,2016,47157,940
현대,LF,2015,97691,1350
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
르노코리아(삼성),더 뉴 SM6,2020,108461,1190
쉐보레(GM대우),스파크,2012,52190,390
KG모빌리티(쌍용),베리,2019,63062,1260
제네시스,G70,2019,60619,2250
기아,올 뉴 쏘렌토,2016,102314,1320
기아,올 뉴 모닝,2017,48501,850
BMW,X3,2021,10761,4690
현대,올 뉴 투싼,2017,82425,1180
쉐보레(GM대우),스파크,2012,58682,390
현대,그랜저,2019,65097,1760
아우디,A3,2023,25119,2690
기아,올 뉴 쏘렌토,2017,41500,1960
제네시스,GV70,2022,31071,4350
르노코리아(삼성),XM3,2020,42348,1540
제네시스,G80,2017,111338,1370
기아,올 뉴 K7,2017,132923,1310
기아,더 뉴 레이,2021,97767,790
기아,K3,2015,113971,540
쉐보레(GM대우),더,2016,41906,570
제네시스,G80,2016,151895,1470
현대,아반떼,2022,85938,1590
현대,아반떼,2015,114977,880
현대,아반떼,2017,135147,880
기아,더 뉴 K5,2015,69131,860
기아,더 뉴 카니발,2019,142597,1250
기아,스포티지,2018,57392,1490
제네시스,GV70,2022,30951,4990
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
쉐보레(GM대우),트랙스,2023,64416,1990
기아,더 뉴 니로,2019,108171,1520
기아,더 뉴 레이,2022,42339,1050
기아,쏘렌토,2022,70622,2920
기아,쏘렌토,2020,114846,2480
현대,그랜저,2017,83407,1620
기아,스포티지,2019,111908,1690
쉐보레(GM대우),더,2016,61632,660
현대,더 뉴 그랜저,2019,91721,2140
KG모빌리티(쌍용),티볼리,2017,38925,1230
현대,더 뉴 아반떼,2014,76823,790
기아,올 뉴 모닝,2013,66650,450
현대,더 뉴 싼타페,2023,53120,3280
벤츠,A-클래스,2021,14376,2290
기아,더 뉴 레이,2022,21224,1410
벤츠,A-클래스,2020,48225,2290
기아,카니발,2023,37949,2790
기아,쏘렌토,2021,61955,3020
르노코리아(삼성),SM7,2018,44846,950
현대,그랜저,2015,111040,1060
쉐보레(GM대우),더 뉴 말리부,2019,33051,1290
제네시스,GV70,2021,109645,3150
기아,더 뉴 봉고III,2025,11247,2030
기아,K5,2021,52056,2390
현대,아반떼,2017,106545,1040
지프,올 뉴 그랜드,2021,76388,3400
현대,그랜저,2019,115150,1460
벤츠,S-클래스,2025,10494,11100
벤츠,CLA-클래스,2023,18597,4250
BMW,4시리즈,2025,4053,5200
미니,쿠퍼,2025,5864,0
아우디,A8,2022,39875,8250
BMW,3시리즈,2025,6112,4100
미니,쿠퍼,2021,46175,0
BMW,3시리즈,2022,39576,3380
BMW,X5,2022,21689,6800
기아,K8,2021,61450,2400
KG모빌리티(쌍용),베리,2023,13961,1720
